Mixture,T cells CD8,T cells CD4,Fibroblast,Macrophage,B cell,Malignant,Mast,Dendritic,Myocyte,Endothelial,P-value,Correlation,RMSE
TCGA-IQ-A61H-01A,0,0,0.0826050086649974,0.00222458794580965,0,0.859265118219745,0,0.000886762081640177,0.0296584971746865,0.0253600259131211,0,0.639361347173857,0.770461296660529
TCGA-CV-6956-01A,0,0,0.0112692569429155,0,0,0.962966415952822,0,0.00150768925202354,0.021609322619227,0.00264731523301198,0,0.72603366281867,0.688930014736691
TCGA-MT-A51W-01A,0.0042243859653075,0,0,0,0,0.993577722507321,0,0.00219789152737135,0,0,0,0.817721599328278,0.576067221052914
TCGA-CQ-6221-01A,0,0,0.653782271168779,0.135278960679828,0,0,0,0,0,0.210938768151393,0,0.11807030383126,1.01622063814765
TCGA-CV-7245-11A,0,0,0.269375201468653,0.0273540477071534,0,0.0107594037615759,0.00119503433418967,0,0.61424385399534,0.077072458733088,0,0.431455096927567,0.902120131739657
TCGA-CV-6953-01A,0.00858039835612942,0,0,0.0028427909349868,0.00778096005098937,0.980795850657894,0,0,0,0,0,0.702761074670693,0.715862623830153
TCGA-CV-5436-01A,0.00169349241140112,0,0.0376736153088741,0.00166937230881729,0.000194944577008127,0.94876066740723,0,0.00354748310143361,0,0.00646042488523569,0,0.711505796680014,0.704166811282083
TCGA-CN-4738-01A,0,0,0.00830300330973594,0.0248819616568001,0.00170889016544907,0.959613910233948,0.000207471719126675,0,0,0.00528476291494011,0,0.644780294169074,0.774001212041402
TCGA-BA-A6DA-01A,0.00667425036204145,0,0,0,0.000277492090545492,0.990365588695063,0,0.00268266885234973,0,0,0,0.743467055325311,0.670351738625673
TCGA-CR-6474-01A,0,0.00586060257485138,0.12567934949903,0.0233347349194886,0,0.791332095170668,0,0,0.014705681770476,0.039087536065486,0,0.361969477032694,0.972365466407107
TCGA-CQ-5334-01A,0.00762548840150571,0,0.0473311281010408,0.0573648454052886,0,0.862195643404387,0,0.00275248117525778,0,0.0227304135125206,0,0.540466663296559,0.854953991378175
TCGA-HD-8635-01A,0,0,0.020018320699262,0,0,0.860022433060064,0,0,0.119959246240674,0,0,0.65484901520586,0.75654591078109
TCGA-CQ-6225-01A,0,0,0,0,0,0.99808199054729,0,0.00191800945271042,0,0,0,0.641358200282314,0.782734690176924
TCGA-CV-7250-01A,0,0,0,0,0,0.988029188986415,0,0.00539670698107394,0,0.006574104032511,0,0.663402580806607,0.75863229319531
TCGA-F7-A623-01A,0.00294227517949061,0,0,0,0,0.992917518528817,0,0.00414020629169198,0,0,0,0.639551920405195,0.783753844578782
TCGA-CN-5355-01A,0,0,0.0435097898420258,0,0.0030053296417315,0.918499823455087,0,0.00106714787734036,0.00770901735789429,0.0262088918259208,0,0.582502590961318,0.826956145053849
TCGA-CV-6934-01A,0.00337878256472555,0,0.254124770237537,0.0707650799981879,0,0.606936220472615,0,0,0.0249131658350109,0.0398819808919242,0,0.326400420044629,0.962538194768401
