"","B.cell","Dendritic","Endothelial","Fibroblast","Macrophage","Mast","myocyte","other","T.cell","tumor"
"TCGA-BA-A6DB-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-A6K1-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-MT-A51X-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-4P-AA8J-01A",0,0,0,0,0.0422085136682089,0,0.00604467392059933,0,0,0.951746812411192
"TCGA-CV-5439-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-BA-A4IF-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-D6-A4Z9-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-7437-01A",0,0,0,0,0.0468284272083014,0,0.0815234489820509,0,0,0.871648123809648
"TCGA-CR-6484-01A",0,0,0,0,0.142513179524528,0,0,0,0,0.857486820475472
"TCGA-CV-7245-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CQ-5327-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-DQ-7588-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CR-7373-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CX-7085-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-F7-A50J-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CQ-6228-01A",0,0,0,0,0.0311728800379431,0,0.006784813676867,0,0,0.96204230628519
"TCGA-CQ-6222-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-IQ-7630-01A",0,0,0,0,0,0,0,0,0.000894075243304513,0.999105924756695
"TCGA-CV-7103-11A",0,0,0,0,0,0,0,0,0,1
"TCGA-D6-A6EP-01A",0,0,0,0.575537705998397,0.0431464824988566,0,0.0948174168361539,0,0,0.286498394666592
"TCGA-CV-7250-11A",0,0,0,0,0.0880134525444667,0,0.601251436463496,0,0,0.310735110992037
"TCGA-D6-6825-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-5432-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CN-6013-01A",0,0,0,0,0.271548452998678,0,0,0,0,0.728451547001322
"TCGA-CV-6939-01A",0,0,0.0158137325874736,0,0.333536659272485,0,0,0,0.0779688574422474,0.572680750697794
"TCGA-CR-6477-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-WA-A7H4-01A",0,0,0,0,0,0,0,0,0.0182904895611757,0.981709510438824
"TCGA-CN-5358-01A",0,0,0,0,0.0675446424365591,0,0,0,0,0.932455357563441
"TCGA-CR-7397-01A",0,0,0,0.158241901724886,0,0,0,0,0,0.841758098275114
"TCGA-F7-A61W-01A",0,0,0,0,0,0,0,0,0.0439242752535721,0.956075724746428
"TCGA-BA-5558-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-5976-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-6954-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CR-7395-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-7411-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-D6-A6EQ-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-7095-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-A463-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CN-4722-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-QK-A8Z7-01A",0,0,0,0,0.0566750735601278,0,0,0,0.0057793230837871,0.937545603356085
"TCGA-CV-6961-01A",0,0,0,0,0.0844417191954034,0,0,0,0,0.915558280804597
"TCGA-CN-5365-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CR-5248-01A",0,0,0,0,0.462748046315098,0,0,0,0,0.537251953684902
"TCGA-CV-6962-01A",0,0,0,0,0.0204763978036507,0,0.00653234507396335,0,0,0.972991257122386
"TCGA-D6-6517-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CR-6491-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-CV-7242-01A",0,0,0,0,0.114626024573512,0,0.0519052991521816,0.0374632123334271,0,0.79600546394088
"TCGA-CV-A45R-01A",0,0,0,0,0,0,0,0,0,1
"TCGA-KU-A66T-01A",0,0,0,0,0,0,0,0,0,1
