"","B-cell","Dendritic","Endothelial","Fibroblast","Macrophage","Mast","myocyte","other","T-cell","tumor"
"TCGA-P3-A6SX-01A",2.44212458784467e-07,2.30312994894224e-07,0.0312491603464112,0.0672902750306931,0.000201329844249882,7.8437504791087e-06,0.0111060239180732,2.3934176342237e-07,0.0030745102317118,0.887070143011165
"TCGA-CV-7242-11A",4.39713291721905e-07,5.67871470085531e-07,0.0189390086183193,0.00797598885815302,0.00764235228983621,6.70736552067783e-05,1.83491294004953e-05,0.0584336522899237,0.0106403246331921,0.896282242941207
"TCGA-DQ-7592-01A",2.02146942044655e-07,5.17115886183932e-07,0.048464390133743,0.0932140645890237,0.00867224216754186,4.30751377376264e-05,0.0126558319414017,1.76222302385795e-07,0.0190649909441029,0.817884509601319
"TCGA-CV-6937-01A",2.52023768779752e-07,1.04298798162639e-06,0.0379173973781049,0.10828631631304,0.0135291264706667,1.30293021716993e-06,0.000141804381624587,7.42204924780122e-06,0.00891762685117584,0.831197708614173
"TCGA-QK-A8ZB-01A",0.0029938411258953,3.59083942356139e-07,0.0410659975367802,0.111310417596365,0.00508762593875506,0.000216163132620298,3.40687806500679e-07,0.00283939826503341,0.0124031993116054,0.824082657321197
"TCGA-CV-7432-01A",1.38426207017955e-07,4.22484517714522e-07,0.0276626441027411,0.0115938555109883,0.00353947030828008,7.16261175641526e-05,4.62369167855427e-06,3.33694932231778e-07,0.00409042041610996,0.953036465246981
"TCGA-CV-7089-01A",5.8720869790562e-06,7.02612149608989e-07,0.0453705288821094,0.0106343253327232,0.00546143986854372,0.000473894533895233,2.38350788250457e-07,0.0102600714168149,0.0129401922106484,0.914852734705348
"TCGA-CV-6939-11A",1.81890760830929e-07,1.28589484138122e-07,0.0316805378636527,0.0487740570443871,0.00250153558667291,1.25435727089211e-07,0.533407388355543,0.353223383912905,1.73596566637632e-07,0.0304124877243
"TCGA-BA-4075-01A",2.73967017910353e-07,4.20637799134535e-07,0.0387090106063468,0.0285631748316214,0.0158057370111829,3.6950590586698e-07,0.00318516169285064,4.40621708651016e-07,0.00726313464141717,0.90647227648415
"TCGA-T3-A92M-01A",0.00124454922749383,1.31571366945859e-06,0.0434249320344319,0.206459863732684,0.0248868278352943,1.77162582713541e-05,1.66134064001648e-07,2.69936255281079e-07,0.0325510115031501,0.691413347624686
"TCGA-BA-4078-01A",1.12506206731189e-07,2.73458630591445e-07,0.0541447817431627,0.247563525250629,0.0142285413934554,8.76060270952067e-05,1.35350155725549e-07,1.53374837015671e-05,0.0114841348854011,0.672475551901562
"TCGA-CV-7100-01A",1.47459418221602e-07,0.000226899376092292,0.0967786098492107,0.107075449772441,0.0133604698288241,1.9333611887731e-07,1.23370166462497e-06,1.83316704023754e-05,0.0292013052892536,0.753337359716574
"TCGA-MZ-A7D7-01A",1.40642053264094e-05,1.07100938639962e-06,0.00661091367134615,0.00620752524248452,0.00156113178059772,0.00014567176435116,5.22355686996576e-07,0.00152093710546757,0.00328205751213853,0.980656105353215
"TCGA-QK-A652-01A",2.86766742783723e-07,2.98456471679368e-06,0.0488432720155257,0.0602744263955982,0.0114902775596783,0.000360621856333901,0.0726247306879255,8.92612271831296e-07,0.028199533103866,0.778202974437341
"TCGA-CV-6433-01A",0.00062534951300173,0.0215080433767227,0.0706461755041099,0.0045222966418233,0.0494707388311703,1.87226295351883e-07,6.10435903683552e-05,0.0323478835002807,0.0859135073093837,0.734904774506844
"TCGA-CV-7416-01A",7.43768928053848e-08,2.26182934207439e-07,0.0560619889659908,0.190451378346932,0.0148959719698303,1.02871978639553e-06,7.14371850827399e-08,1.95795592143611e-07,0.00341633910687378,0.735172725097982
"TCGA-CV-A6JY-01A",0.000223097701414917,4.96502429450911e-07,0.0156855485011776,0.00218729826458315,0.00132707782427102,0.000638385125389055,6.5063901370158e-05,1.85689888363405e-05,0.00517740987454358,0.974677053315985
"TCGA-CR-7399-01A",2.59873809028347e-07,0.0051648873000835,0.0823751676752888,0.0448789095705661,0.0554916746954013,7.41687522778413e-08,9.45395718380089e-07,0.0114114672910012,0.061208077183083,0.739468536846296
"TCGA-CV-7568-01A",5.18813549659922e-07,2.67352338294352e-07,0.0390276479401844,0.21863528842534,0.00474830007839434,1.13975998451592e-05,0.0121009285278986,8.08747048306066e-07,0.0102259971753317,0.715248845340069
"TCGA-KU-A66S-01A",0.000111975385620569,7.27022266279662e-07,0.0727902927158716,0.0583097096809571,0.00539502110151229,0.000906921219334666,0.00153143771087687,0.00562037824969895,0.0282189852543308,0.827114551659531
"TCGA-QK-A6VC-01A",0.000948848357715635,0.00506660313405153,0.0415239776889321,0.0481704615041872,0.0135081444255975,0.000208408472439678,5.31779157001038e-07,0.0151021229130449,0.0472921895162126,0.828178712208662
