"","B-cells","CD14-cells","CD8-cells","Endothelial","Fibroblast","Macrophage","Mast","NK-cells","pDC-cells","Tconv-cell","Treg-cells","tumor"
"TCGA-QK-A6IJ-01A",1.90584655371223e-05,1.60689957792795e-05,0.000117273216817103,0.0121899221580917,1.06850283132532e-05,0.0386304642076827,0.000267552078397565,6.37122146886026e-05,0.00136824033212376,0.00022058151530716,0.00339231289325507,0.943704128894007
"TCGA-CV-7248-01A",0.0169198488239999,1.12244350893745e-06,0.00612212048500264,0.104639183928703,0.133026767697934,0.0610553098906826,0.000235511636903635,0.00687959474769075,9.73180982388357e-06,0.00310868586462468,3.97181566689168e-05,0.667962404514457
"TCGA-CV-7101-11A",0.00027191284621471,3.14876705903652e-07,2.68731239433186e-07,0.00776078582094306,3.37563750931982e-07,0.16579417269662,1.6363213621981e-07,4.35558277136363e-07,3.1322916685348e-07,0.0357503943294141,2.9410779018668e-07,0.790420606607741
"TCGA-H7-A6C4-11A",2.0157362316204e-07,2.75041757915531e-07,2.54087549527762e-07,2.44503799629329e-06,0.00936826040996983,3.23228563533644e-07,1.84283052974635e-07,2.81629295496664e-07,6.09306010432253e-07,0.741650451771747,2.54231698278363e-07,0.248976459398736
"TCGA-CV-6942-01A",0.00997011982396919,9.92649357262503e-06,0.0173563912124676,0.11085537280136,0.145731309642781,0.140857177883432,0.00155550464558859,2.08697135942891e-05,0.000284821953551471,9.50090088653402e-06,0.00654707540745063,0.566801929521346
"TCGA-RS-A6TP-01A",6.33638539794997e-07,0.00718346249803263,0.000265040176439434,0.0177060941879988,0.00686498435323225,0.00781569463653427,5.3407401423755e-05,3.69065964325938e-06,0.00492982665133216,9.18165884947548e-07,0.0170737806043225,0.938102467026616
"TCGA-CV-7091-11A",1.17323413571204e-07,1.44035809711472e-07,1.22088254933527e-07,0.0161237205865454,0.0557995117806534,1.52152585925828e-07,1.13798557369156e-07,1.22867963507722e-07,1.59109653337874e-07,0.878816754463087,1.37316605111083e-07,0.0492589444768711
"TCGA-D6-A6EM-01A",0.000329840161080093,6.06743253326438e-06,1.86113376061823e-06,0.0294418492729929,0.0143088343568242,0.0749408716517175,3.08316894675215e-07,7.6064503436801e-07,0.00491317506275555,0.239611114217996,0.00878955316802468,0.627655764580387
"TCGA-CV-7101-01A",0.013352508960102,3.98819841834742e-06,0.00597803139687786,0.0536008517696133,0.0741452509108519,0.0523100572492489,0.000345013035470273,0.00243609612112995,0.00683950143008702,1.70609689920393e-06,1.38854374059442e-05,0.790973109393895
"TCGA-CR-7371-01A",0.00148548399122185,3.24423936052504e-06,0.00531517222521474,0.0834604361845992,0.14947446996743,0.077414855228592,0.00078359223484875,0.00694961540739496,0.0008163578659208,0.0119293933457387,0.00698514861462788,0.655382230695051
